"city","overallconsumer"
"San Diego                                         ",185
"Los Angeles                                       ",78
"San Francisco                                     ",31
"San Jose                                          ",29
"Fallbrook                                         ",26
"Sacramento                                        ",26
"Temecula                                          ",22
"Escondido                                         ",16
"Long Beach                                        ",15
"Fresno                                            ",13
